candidate,selection_role,mae_sbp,mae_dbp,mean_mae,worst_target_mae,rmse_sbp,rmse_dbp,bias_sbp,bias_dbp,pearson_sbp,pearson_dbp,selection_score,tail_count,tail_mae_sbp,tail_mae_dbp,high_count,high_mae_sbp,high_mae_dbp,low_count,low_mae_sbp,low_mae_dbp,high_bp_sensitivity,high_bp_specificity,sbp_within_5,sbp_within_10,sbp_within_15,dbp_within_5,dbp_within_10,dbp_within_15,clinical_selection_score,mae_sbp_ci_low,mae_sbp_ci_high,mae_dbp_ci_low,mae_dbp_ci_high,tail_mean_mae_ci_low,tail_mean_mae_ci_high,high_bp_sensitivity_ci_low,high_bp_sensitivity_ci_high,uncertainty_error_spearman,uncertainty_error_p
resnet_multiview10__physio_multitask_aug,fixed_baseline,12.893617630004883,8.18868637084961,10.541152000427246,12.893617630004883,16.241371154785156,10.679290771484375,-0.49400362372398376,-0.4764779806137085,0.41784546129655403,0.49257334108533496,0.6954857707023621,23018,13.584503173828125,8.632612228393555,3626,27.7104434967041,16.537195205688477,27699,11.704106330871582,6.868753910064697,0.011307225592939878,0.99923923638352,0.24086760489395698,0.4657138479721596,0.6516010418262601,0.38963426645363214,0.689903477861192,0.8631836984832235,0.7048548460006714,12.609688353538512,13.189541435241699,7.957101285457611,8.408896541595459,10.789160108566284,11.431506896018982,0.005131055624224246,0.019408395839855073,0.06535154767699364,1.967147230647444e-44
resnet_derivative5__l1,novel_candidate,13.0934419631958,8.290521621704102,10.69198226928711,13.0934419631958,16.473875045776367,10.815055847167969,-1.0459158420562744,-0.7248519659042358,0.3939488822616403,0.47452005925989393,0.7052416801452637,23018,13.560624122619629,8.61146068572998,3626,28.521072387695312,17.05322265625,27699,11.713398933410645,6.7942214012146,0.003309431880860452,0.999833582958895,0.23710302260938082,0.45750618310753133,0.643590360918383,0.38449079647179846,0.683293571756878,0.8587843901157828,0.7117887735366821,12.798491144180298,13.38968391418457,8.059595441818237,8.52352695465088,10.764017391204835,11.411475825309754,0.0002646868146257475,0.008941981801763177,0.06414462031350092,7.226460930366332e-43
spectral_multi10,novel_candidate,13.064508438110352,8.261738777160645,10.663124084472656,13.064508438110352,16.425382614135742,10.800622940063477,-0.999724268913269,-1.0332965850830078,0.3960372603517082,0.4805223673137175,0.7032564878463745,23018,13.577859878540039,8.368653297424316,3626,29.00789451599121,17.272584915161133,27699,11.65673542022705,6.598594665527344,0.0011031439602868175,1.0,0.23808794239313621,0.4578344897021165,0.6436997964499114,0.38670139420867167,0.6853728468559172,0.8614108428724638,0.7079447507858276,12.774797368049622,13.36061670780182,8.036841368675232,8.493735003471375,10.650282621383667,11.30325059890747,0.0,0.0034694118716288346,0.03690972530922741,2.9756898906538305e-15
