epoch,train_loss,mae_sbp,mae_dbp,mean_mae,worst_target_mae,rmse_sbp,rmse_dbp,bias_sbp,bias_dbp,pearson_sbp,pearson_dbp,selection_score,tail_count,tail_mae_sbp,tail_mae_dbp,high_count,high_mae_sbp,high_mae_dbp,low_count,low_mae_sbp,low_mae_dbp,high_bp_sensitivity,high_bp_specificity,sbp_within_5,sbp_within_10,sbp_within_15,dbp_within_5,dbp_within_10,dbp_within_15,clinical_selection_score
1,0.737745426190916,13.456341743469238,9.275263786315918,11.365802764892578,13.456341743469238,17.006216049194336,12.131423950195312,-2.764716148376465,-2.9120395183563232,0.22576001219210737,0.24879312771408676,0.749449610710144,2965,13.097259521484375,8.221778869628906,403,34.83506393432617,22.593761444091797,3562,11.496150016784668,6.254459381103516,0.0,1.0,0.23401709401709403,0.4533333333333333,0.635042735042735,0.34068376068376066,0.6442735042735043,0.8256410256410256,0.7362991571426392
2,0.7066787599131118,13.313261032104492,9.095965385437012,11.204612731933594,13.313261032104492,16.9575252532959,11.880182266235352,-2.0382566452026367,-1.7548164129257202,0.24381306915385897,0.25973268379242964,0.7382173538208008,2965,13.121115684509277,8.824687004089355,403,33.63438034057617,21.51875114440918,3562,11.575342178344727,6.735644817352295,0.0,1.0,0.23897435897435898,0.4611965811965812,0.6429059829059829,0.3476923076923077,0.642051282051282,0.8290598290598291,0.7341379523277283
3,0.6968607985696127,13.373381614685059,9.161239624023438,11.267311096191406,13.373381614685059,17.015722274780273,12.006660461425781,-2.3998541831970215,-2.244992971420288,0.23887002050838937,0.24835878589760424,0.7425298690795898,2965,13.122355461120605,8.535107612609863,403,33.909793853759766,21.996776580810547,3562,11.601919174194336,6.48467493057251,0.0,1.0,0.24188034188034188,0.45504273504273507,0.6417094017094017,0.3482051282051282,0.6447863247863248,0.8314529914529915,0.734452486038208
4,0.6905848245288051,13.691622734069824,9.319135665893555,11.505378723144531,13.691622734069824,17.57560920715332,12.229019165039062,-4.414528846740723,-2.882049322128296,0.22938350045679382,0.22699758010728244,0.7577680349349976,2965,12.662522315979004,8.23306941986084,403,35.71318054199219,22.517276763916016,3562,11.404664039611816,6.294526100158691,0.0,1.0,0.24034188034188034,0.4567521367521368,0.634017094017094,0.34324786324786327,0.6381196581196581,0.8263247863247863,0.7396293878555298
5,0.6842334018659222,13.64161491394043,9.333379745483398,11.487497329711914,13.64161491394043,17.45262908935547,12.248475074768066,-3.8710122108459473,-2.961813449859619,0.22057880206353778,0.22516061982426328,0.7569533586502075,2965,12.840892791748047,8.21200942993164,403,35.28801727294922,22.514476776123047,3562,11.479537010192871,6.266249656677246,0.0,1.0,0.24188034188034188,0.45555555555555555,0.6317948717948718,0.3425641025641026,0.6384615384615384,0.8254700854700855,0.7400456666946411
6,0.6827879855337069,13.980849266052246,9.348799705505371,11.664824485778809,13.980849266052246,17.97110366821289,12.308097839355469,-5.911818981170654,-3.3065314292907715,0.2137428633660589,0.22843601747546266,0.7670120596885681,2965,12.40661907196045,8.040037155151367,403,37.5830192565918,22.982271194458008,3562,11.246944427490234,6.095353126525879,0.0,1.0,0.23948717948717949,0.4581196581196581,0.6264957264957265,0.34,0.6427350427350428,0.8261538461538461,0.7428309917449951
