caseid,tname,tid
933,Solar8000/ART_SBP,6fec77fc7aae331eaac40307cd15dbdaa1743eeb
936,SNUADC/PLETH,c5facb6f6580c5e5d9d61389876fd1df786e8350
936,Solar8000/ART_DBP,c6ac8fb63ee19a18ea148864c69fd1c644108487
936,Solar8000/ART_SBP,b29c614b3f98ef77e585edf0651765770a4b205a
1016,SNUADC/PLETH,46b90f454c05fe281cec51db78686710b581f621
1016,Solar8000/ART_DBP,27ebcfcb3a3a32201188ab8d4f797516e319fbb0
1016,Solar8000/ART_SBP,102beb86039ccc892849caeba93b2ea7e818b2da
1207,SNUADC/PLETH,015c32fd220f0a005d754ed732b266ebdf1cae63
1207,Solar8000/ART_DBP,007862c580e43e8fb5c1cb0bd8b3f8d2d2bcd736
1207,Solar8000/ART_SBP,e2f964804c4865720085666c16c1d54721cb0473
1473,SNUADC/PLETH,15e64d0104d4125aaac6809274703feee773d408
1473,Solar8000/ART_DBP,5f56a5b9f0d38c0e8f7ac1d2ebc69377de11f3c3
1473,Solar8000/ART_SBP,5d9d8462e31dc5e2e7daa91f75322e0dc8b0cf0f
1522,SNUADC/PLETH,6eb4a05fe2a81ac25021f74eb039ba089b00dc72
1522,Solar8000/ART_DBP,34bea9ec81071a52ce8868e177b69d07a80c70b7
1522,Solar8000/ART_SBP,663dce7a49695e58cf581cea3c07fcf2eebca07c
1555,SNUADC/PLETH,b6427aead5d8bf4ad3ffc41922cfb45c4cb09e28
1555,Solar8000/ART_DBP,c45482003aefae82d909fbea150158c0cdbd18f7
1555,Solar8000/ART_SBP,2c5107be9bd9a39a7649ebe44b6d6327be3c9611
1559,SNUADC/PLETH,dbf7146de2b4e025c1e2e0bae648a26abea55298
1559,Solar8000/ART_DBP,357e1827eb3e457d56d76cbb91c280a2a8902cfa
1559,Solar8000/ART_SBP,9fc1177202b18ae9013b400bed24c152ac213be2
1563,SNUADC/PLETH,ed18953660c27ce90283f9f2c7c82be185ac84cd
1563,Solar8000/ART_DBP,cea836f58cf4e8049a2de93c520abcf812e942aa
1563,Solar8000/ART_SBP,9436319165686edb740f60d4216631058a9c5ffd
1601,SNUADC/PLETH,bc8cd4b31a8c0b1797c01518c647f65c6e3065cc
1601,Solar8000/ART_DBP,05d7a5f916156c7c9114cc971ec530ebd18e0e96
1601,Solar8000/ART_SBP,e2e20c6ae6d888272f42eed8733ed87220e8271e
1644,SNUADC/PLETH,1ee0c984618588e277240aa09a78490ecd30982b
1644,Solar8000/ART_DBP,b3181d13355b89ab17a3db706b2bb7441f776423
1644,Solar8000/ART_SBP,a8d4b39d91eb15d674e7ae7c538fdb1d7f08f84c
1697,SNUADC/PLETH,ead03901b4ac7a5cd9ae1f3c1bf8e2b04af79c7c
1697,Solar8000/ART_DBP,664d5ed6556485302c44f26896b9a9a34eb0d686
1697,Solar8000/ART_SBP,48c256187ed798520a0a7883029d8e7b321c5ffe
1719,SNUADC/PLETH,9a11215e4855dfecd98fdc60fd58b0c0dcc58207
1719,Solar8000/ART_DBP,001be3afe9b460d8ee610e7c64f0d790913e700b
1719,Solar8000/ART_SBP,c8c4e0e8532e93754de47672ad37c97bfb1af8ef
1747,SNUADC/PLETH,74d239dd36ef10ac9b9e365d3173555cb9b544a0
1747,Solar8000/ART_DBP,daf501a3d7625f431147400e1c8e3a3a00d1ec4d
1747,Solar8000/ART_SBP,8b83b7a23b383f1c53fa63cb414a4be2db921c7d
1796,SNUADC/PLETH,8bfbbcf0e639c8c31bba50671f685de72ecb5fff
1796,Solar8000/ART_DBP,a4e047b5bc7b209621af76aa6ca6808bcca777a2
1796,Solar8000/ART_SBP,b24670ac3d8e951cda3a699ddff84b0376ec6488
1831,SNUADC/PLETH,adc8c9cccf7e1388d5883e35c65dc2634222fa8c
1831,Solar8000/ART_DBP,03adfb9a291d7defb2e9c039ecf04dabe910e431
1831,Solar8000/ART_SBP,b9b02334ba36c63850acf7e79eb3ffd36cb69647
2062,SNUADC/PLETH,e4ad966dce27e8e450ec2e92ee745eab7108221b
2062,Solar8000/ART_DBP,ea27b3b49b4eb8b073f1d7088dd7d4e2ce4b1c0b
2062,Solar8000/ART_SBP,c14956fefb5f13ce9dcb50e378d71f848ec4b770
2130,SNUADC/PLETH,e68a509041568bfc4b990aa61ef595d300ef90ac
2130,Solar8000/ART_DBP,54323f2161bc1aa8da47452c6654ad53a5e98b7a
2130,Solar8000/ART_SBP,53682973ae4cf9913db9b22d5ceced820d5853c9
2165,SNUADC/PLETH,93765ff4114b23583576f3f12434add2eaf602e6
2165,Solar8000/ART_DBP,d2b9daedd4148ff41b94910e7498916b50341d97
2165,Solar8000/ART_SBP,4561acab6fe30d4fefa566d53c7132e30492fdec
2287,SNUADC/PLETH,a12b599834bcbfbe594a585e20b114560bcc358f
2287,Solar8000/ART_DBP,f0a3d61b8ae70ecf4b589b6864a34182b7afec10
2287,Solar8000/ART_SBP,d244dd7d49e52fd76f49cca1a0b0d4ed61303a7e
2375,SNUADC/PLETH,bdde18dbf00671b8c0cd9bafd47f31adc00fe752
2375,Solar8000/ART_DBP,67b7a02e8b2cb25d908fc17df0cb58426b846cc1
2375,Solar8000/ART_SBP,abe592d609ffcb94623b09d547a6cfa6f2a6e040
2605,SNUADC/PLETH,23fc2b6885d2951d92d7fbce8196fe653ff4fb32
2605,Solar8000/ART_DBP,0ed25f62263224b17660452d41648f855c896608
2605,Solar8000/ART_SBP,751b9196bb24172c718a14f1110730c7500f0c96
2716,SNUADC/PLETH,8cf53636af51fe389cf19017ea1e5d1394e95cc4
2716,Solar8000/ART_DBP,731cd87f38a3be792d05456763d6b1811f105b43
2716,Solar8000/ART_SBP,8a3299dea7cb8bdcbda3d3fc3a866f615dece661
2809,SNUADC/PLETH,087ea1571a280c6f39e1fea8729771d358a59e26
2809,Solar8000/ART_DBP,78d07150d974a9b055ddf1b808019bf647fd8c1c
2809,Solar8000/ART_SBP,222131e04a9fa799a09ba74808a495c26190c8be
