caseid,tname,tid
5844,SNUADC/PLETH,7c93a2ec84fe319daf696cc943ab7641f543969b
5844,Solar8000/ART_DBP,25c6213f0b4b88a35200d7e0e5af1ba2debcba3e
5844,Solar8000/ART_SBP,d2c2c9d3e665a30f79aa6f00a0f352e1aa8cfe5d
5933,SNUADC/PLETH,2c1c18515dd28e4900f0ea199eac13667afc5475
5933,Solar8000/ART_DBP,f33ea603e4bc133123551d49e1e677d5991d2799
5933,Solar8000/ART_SBP,20d5d36a5e143ddebc74c6f1891cfc6e9f54b51e
5950,SNUADC/PLETH,dd85c88d3c38ed95ceec39393628ba8754ae7d02
5950,Solar8000/ART_DBP,e9f31333ed855c0c356479cecf57f2014c14400d
5950,Solar8000/ART_SBP,ae7329b86e695a99f99889e484b644c032607b6d
5956,SNUADC/PLETH,edc9a2784cd4fdd8fb9c8e7185396db71b7def5e
5956,Solar8000/ART_DBP,247f38b624d26df088abc6d98a8751e686f38237
5956,Solar8000/ART_SBP,abd20ead46ab907d78a0a07bf0441c3baa4783e2
5979,SNUADC/PLETH,3543a83350cc86443e38d3eb65db859aed63bffa
5979,Solar8000/ART_DBP,ae6c26c62f7de464ec1c3296a0aeb620805284ac
5979,Solar8000/ART_SBP,c79d6f0ca564130bca4d968d3755b93c5be1f0db
5997,SNUADC/PLETH,a11136009c971703f12c682b7e7ecdfeff3a7697
5997,Solar8000/ART_DBP,a3cb811ff7b12bf3b3b213699fe154ea8d6301ab
5997,Solar8000/ART_SBP,7a77c7c234cfa9e716edb5574d4d885db24f3237
6020,SNUADC/PLETH,7ce2138c454dba472a26943975820879aba5c0ce
6020,Solar8000/ART_DBP,0b6f122dcb5cae49abfd2b2fd8646e8675e00809
6020,Solar8000/ART_SBP,63d603c3f72c4404ee79a971e84904fb37dbf64e
6047,SNUADC/PLETH,7dd9da00e369ba425bf22fe96293b72a2d558adc
6047,Solar8000/ART_DBP,7b7d032deb01c4a9596be3541a1e9a022275d9a5
6047,Solar8000/ART_SBP,e2e2ab83114ee572d9314b8c541ea88f705569a6
6079,SNUADC/PLETH,766bdecc922bf79f676447f34849927cf4fd105f
6079,Solar8000/ART_DBP,34986e5a024741ecc81fc7c277a989907e0b7106
6079,Solar8000/ART_SBP,c018291f2e1b818a496c0caa6401980c64d5ed39
6080,SNUADC/PLETH,9ddef245cbc642357d95d46a75f8882e4e7dd419
6080,Solar8000/ART_DBP,466ecafb1d953f929af12ae610e02313f783b164
6080,Solar8000/ART_SBP,ad2981ee4d8e8540f34f19b663a8f2a15d2c1be0
6097,SNUADC/PLETH,0e35e9a2c56ae23472fc19784c2c1c5051ccbbc7
6097,Solar8000/ART_DBP,572de48300bc6627cea5ee47c66def7c17ea0caa
6097,Solar8000/ART_SBP,cba752c62aba676a59534596a6259b4282b4eca5
6128,SNUADC/PLETH,0911b7d7c6dc9313660418b256eed78c48b21fa9
6128,Solar8000/ART_DBP,6862820ef8967fc6880568a84a4f7ef6839be4ec
6128,Solar8000/ART_SBP,14503216422a14ddb67f18b11e6c024389cbe7c3
6145,SNUADC/PLETH,0ffc875bda0c45cf3b14e0fa7c613852cb81639c
6145,Solar8000/ART_DBP,bc62c75048a365ef5cc43cddb642c08f4fa238b1
6145,Solar8000/ART_SBP,283c69f03e30abcef724693138a01486781e5020
6195,SNUADC/PLETH,67f211eb8a498bab26f73e206c3d0ea9f2b95eeb
6195,Solar8000/ART_DBP,6fa542d7fb0c222939e9344ecc03888beffdb4db
6195,Solar8000/ART_SBP,56430fa6c5f301df30f5656a5c5a0548bcb23139
6251,SNUADC/PLETH,feb9ec2acee67c51a27149330caa0ebee9c25a5d
6251,Solar8000/ART_DBP,a1424b4ace1f55da8314cbfc4dda48dc52455dc2
6251,Solar8000/ART_SBP,39e66666612fa31111873b6bfd0046d90887f952
6296,SNUADC/PLETH,fbd5cb75ffa1f621ceab8ad2faa72fbaab0cdb2c
6296,Solar8000/ART_DBP,46613f4b22e497bcc3d0444950a29a07a02d41eb
6296,Solar8000/ART_SBP,d92a299bb465fcd6775c6297bf25341bba4e2866
6316,SNUADC/PLETH,42f1012da1db090245d696107ab8c241f0ace932
6316,Solar8000/ART_DBP,89b278c7ce6ee050874e703259074f367c06aff4
6316,Solar8000/ART_SBP,d7f632f76119d3f2e68f233392148d4ac781d2bb
6381,SNUADC/PLETH,ea4a5083a765564df157d8eb3560e69a6c7cfded
6381,Solar8000/ART_DBP,73d3d284451179be7367cbfaf921a476a969dd1f
6381,Solar8000/ART_SBP,d730f96f5e5324a1eaeff5f8d00fb873ed30a92e
6385,SNUADC/PLETH,6f38e9113ad0110807fccb48bee6e061fcbf6871
6385,Solar8000/ART_DBP,db7ae248e893d77e8e46a2a645cb5cc2046d9bb6
6385,Solar8000/ART_SBP,bddfc84b15cd300eebec0bea16ae600eaa99b751
