epoch,train_loss,mae_sbp,mae_dbp,mean_mae,worst_target_mae,rmse_sbp,rmse_dbp,bias_sbp,bias_dbp,pearson_sbp,pearson_dbp,selection_score,tail_count,tail_mae_sbp,tail_mae_dbp,high_count,high_mae_sbp,high_mae_dbp,low_count,low_mae_sbp,low_mae_dbp,high_bp_sensitivity,high_bp_specificity,sbp_within_5,sbp_within_10,sbp_within_15,dbp_within_5,dbp_within_10,dbp_within_15,clinical_selection_score
1,0.749690843876018,13.675621032714844,9.26955509185791,11.472587585449219,13.675621032714844,17.064050674438477,12.036149024963379,-0.6865943074226379,-2.373004198074341,0.14107204373139628,0.2418008734512617,0.7553173303604126,2965,14.21951961517334,8.664937019348145,403,34.05063247680664,22.66423988342285,3562,12.197190284729004,6.479642391204834,0.0,1.0,0.2252991452991453,0.4317948717948718,0.6155555555555555,0.3364102564102564,0.6300854700854701,0.824957264957265,0.7529847621917725
2,0.7294855900975161,13.800459861755371,9.166417121887207,11.483438491821289,13.800459861755371,17.100893020629883,11.837260246276855,1.487915277481079,-1.0837230682373047,0.14905171950323345,0.24369923450435113,0.7546173334121704,2965,15.165672302246094,9.483274459838867,403,31.719234466552734,21.312429428100586,3562,12.969596862792969,7.14169454574585,0.0,1.0,0.21777777777777776,0.4218803418803419,0.6095726495726496,0.34,0.6304273504273504,0.8263247863247863,0.7673141956329346
3,0.7206691085368164,13.685775756835938,9.211480140686035,11.448627471923828,13.685775756835938,16.996910095214844,12.018658638000488,0.903897225856781,-2.1743385791778564,0.17198099133613953,0.23613087448189968,0.7532505989074707,2965,14.773641586303711,8.679827690124512,403,31.93532943725586,22.202226638793945,3562,12.693522453308105,6.584878921508789,0.0,1.0,0.2165811965811966,0.42717948717948717,0.6194871794871795,0.34034188034188034,0.6376068376068376,0.8297435897435897,0.7554381489753723
4,0.7168210777201394,13.53661823272705,9.338768005371094,11.437692642211914,13.53661823272705,16.958229064941406,12.231415748596191,-1.0491012334823608,-2.93898606300354,0.18763117051200356,0.22223737740900426,0.7542511224746704,2965,13.890625,8.249979972839355,403,33.76322937011719,22.925994873046875,3562,12.0095853805542,6.290024280548096,0.0,1.0,0.2264957264957265,0.44017094017094016,0.6268376068376068,0.34,0.635042735042735,0.8239316239316239,0.7457019090652466
5,0.7125683188900467,13.523367881774902,9.35157585144043,11.437471389770508,13.523367881774902,16.966941833496094,12.281437873840332,-1.0360678434371948,-3.187263011932373,0.18729071053463683,0.2254291505798093,0.7544007301330566,2965,13.853989601135254,8.09950065612793,403,33.80317306518555,23.148868560791016,3562,11.964802742004395,6.174450397491455,0.0,1.0,0.22564102564102564,0.44153846153846155,0.627008547008547,0.3411965811965812,0.6331623931623932,0.8256410256410256,0.7440375685691833
6,0.710821733918301,13.514974594116211,9.104437828063965,11.30970573425293,13.514974594116211,16.850019454956055,11.90821361541748,-0.0433201864361763,-1.995173454284668,0.20722173557965037,0.2589943653064701,0.7441701889038086,2965,14.236797332763672,8.711640357971191,403,32.46840286254883,21.965444564819336,3562,12.279046058654785,6.586186408996582,0.0,1.0,0.2223931623931624,0.4370940170940171,0.6268376068376068,0.3466666666666667,0.6398290598290598,0.8311111111111111,0.7452168464660645
7,0.7074749830157258,13.502241134643555,9.111246109008789,11.306743621826172,13.502241134643555,16.83005142211914,11.92684555053711,0.3226427733898163,-1.7262775897979736,0.21754240170742373,0.24709320361247708,0.7440915107727051,2965,14.311001777648926,8.873891830444336,403,31.778175354003906,21.764753341674805,3562,12.382970809936523,6.758930206298828,0.0,1.0,0.2229059829059829,0.4358974358974359,0.6282051282051282,0.34974358974358977,0.6422222222222222,0.8317948717948718,0.7473145723342896
8,0.7070085431716239,13.445416450500488,9.22146987915039,11.333442687988281,13.445416450500488,16.86571502685547,12.160273551940918,-1.2700444459915161,-2.866180896759033,0.22006688308820743,0.2426411731826201,0.7469696998596191,2965,13.673101425170898,8.204331398010254,403,33.398895263671875,22.84711265563965,3562,11.877551078796387,6.244481563568115,0.0,1.0,0.22393162393162394,0.44598290598290596,0.6299145299145299,0.3490598290598291,0.6408547008547009,0.8282051282051283,0.7382667064666748
9,0.7041624414828397,13.466397285461426,9.090250015258789,11.278324127197266,13.466397285461426,16.82454490661621,11.944263458251953,-0.15119704604148865,-2.110377311706543,0.2171366635375847,0.2569121395518001,0.7422451972961426,2965,14.123563766479492,8.611042022705078,403,32.33427429199219,22.152477264404297,3562,12.20295524597168,6.515436172485352,0.0,1.0,0.2252991452991453,0.4406837606837607,0.6271794871794871,0.35555555555555557,0.6451282051282051,0.8336752136752137,0.7419683933258057
10,0.7030643527359925,13.419248580932617,9.042633056640625,11.230940818786621,13.419248580932617,16.87603187561035,11.958144187927246,-1.042221188545227,-2.526886463165283,0.21998177743781944,0.27682523382246954,0.7390077710151672,2965,13.708643913269043,8.286090850830078,403,33.05409240722656,22.486936569213867,3562,11.92740249633789,6.294349193572998,0.0,1.0,0.2312820512820513,0.4478632478632479,0.6299145299145299,0.35777777777777775,0.6523076923076923,0.8350427350427351,0.7333692312240601
