endpoint,operating_point,n,prevalence,tp,fn,tn,fp,sensitivity,specificity,ppv,npv,auprc,auroc,repeats,folds,threshold_median,threshold_iqr_low,threshold_iqr_high
high_bp,direct numeric output,45689.0,0.07936264746437874,18,3608,42056,7,0.004964147821290678,0.999833582958895,0.72,0.9209880868955851,0.23281178022967114,0.7464189618967655,,,,,
high_bp,patient-cross-fitted threshold,,,13245,23015,378514,42116,0.36527854384997244,0.8998739985260205,0.2392478459565398,0.9426815995855841,0.23281178022967114,0.7464189618967655,10.0,5.0,-18.66985321044922,-18.78575897216797,-18.604833602905273
map_below_65,direct numeric output,45689.0,0.17363041432292237,229,7704,37434,322,0.028866759107525525,0.9914715541900625,0.41560798548094374,0.8293234082148079,0.32892147274107153,0.7288526043820194,,,,,
map_below_65,patient-cross-fitted threshold,,,22885,56445,339765,37795,0.2884785075003151,0.8998967051594449,0.37714238628872776,0.857537669417733,0.32892147274107153,0.7288526043820194,10.0,5.0,-3.4924850463867188,-3.525310516357422,-3.4629478454589844
