epoch,train_loss,mae_sbp,mae_dbp,mean_mae,worst_target_mae,rmse_sbp,rmse_dbp,bias_sbp,bias_dbp,pearson_sbp,pearson_dbp,selection_score,tail_count,tail_mae_sbp,tail_mae_dbp,high_count,high_mae_sbp,high_mae_dbp,low_count,low_mae_sbp,low_mae_dbp,high_bp_sensitivity,high_bp_specificity,sbp_within_5,sbp_within_10,sbp_within_15,dbp_within_5,dbp_within_10,dbp_within_15,clinical_selection_score,run_id,stage,backbone,view,duration_seconds,engineered,head,loss,augmentation,balance,seed,parameters,trainable_parameters,train_samples,eval_samples,runtime_seconds,candidate_id,innovation_label,selection_role,candidate_number,cv_seed,training_seed,fold,status,train_subjects,test_subjects,patient_overlap,checkpoint_saved
5,0.6032185919621852,13.150829315185549,8.166075706481934,10.658452987670898,13.150829315185549,16.62368392944336,10.690081596374512,0.3773591816425323,-0.0877375826239585,0.4167925757251228,0.4774391946015723,0.7026537656784058,4563,14.014081001281738,8.690503120422363,718,27.1184196472168,15.79069709777832,5422,12.15244197845459,7.056922435760498,0.0473537604456824,0.9959571938168846,0.2376205083260298,0.4602322524101665,0.6442813321647678,0.3919807186678352,0.6914986853637161,0.858567046450482,0.7140665650367737,I200C_C1_seed2718_fold1,INNOVATION200_CONFIRM,resnet,multiview,10.0,none,multitask,multitask,jitter_scale,none,2719,1146884,1146884,36561,9128,11.553941011428831,PRIOR_WINNER_FIXED,prior_resnet_multiview10_multitask,fixed_prior_winner,1,2718,2719,1,ok,1219,305,0,True
3,0.6245018540252566,13.248022079467772,8.213597297668457,10.730810165405272,13.248022079467772,16.630882263183594,10.86347484588623,-0.899689257144928,-1.7673089504241943,0.4082057160352316,0.4734969606074112,0.707324743270874,4563,13.998074531555176,7.901992797851562,718,28.80649948120117,17.01222801208496,5422,12.09606647491455,6.328906536102295,0.0,1.0,0.2246932515337423,0.4534399649430324,0.6365030674846626,0.4011831726555653,0.6947852760736196,0.8596625766871165,0.7094360589981079,I200C_C2_seed2718_fold1,INNOVATION200_CONFIRM,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,amplitude_warp,none,2719,705721,705721,36561,9128,7.93823766708374,I200_TRAIN_003_7a8882a0ec,adamw_3e4_cos_amplitude_warp,best_normalized_accuracy,2,2718,2719,1,ok,1219,305,0,True
3,0.6346938210632165,13.21115016937256,8.332863807678223,10.77200698852539,13.21115016937256,16.615209579467773,10.941828727722168,-0.8482173085212708,-1.26820170879364,0.4129480119323388,0.4569270429086096,0.7111392021179199,4563,13.870863914489746,8.197229385375977,718,28.052824020385746,16.213361740112305,5422,12.094223022460938,6.691329956054688,0.0041782729805013,1.0,0.2297326906222611,0.4526730937773882,0.6372699386503068,0.3920902716914987,0.6872261174408414,0.849364592462752,0.7144044637680054,I200C_C3_seed2718_fold1,INNOVATION200_CONFIRM,conv_transformer_lite,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,2719,148804,148804,36561,9128,5.486363172531128,I200_ARCH_073_f3d457acb9,convtransformer_w64_p15_d1,best_tail_aware_accuracy,3,2718,2719,1,ok,1219,305,0,True
4,0.5604936581943671,13.406085014343262,8.353675842285156,10.879880905151367,13.406085014343262,16.923824310302734,11.10350227355957,-3.923973560333252,-2.7350587844848637,0.4216540302634072,0.463805943255223,0.7174761295318604,4563,13.318358421325684,7.782622337341309,718,32.18351364135742,19.27591323852539,5422,11.463610649108888,5.856245994567871,0.0013927576601671,0.9998810939357908,0.2303900087642419,0.4517966695880806,0.6335451358457493,0.4030455740578439,0.6838299737072743,0.8556091148115688,0.7110494375228882,I200C_C4_seed2718_fold1,INNOVATION200_CONFIRM,adaptive_resnet,multiview_zscore,10.0,none,direct,huber_ccc,jitter_scale,none,2719,926775,926775,36561,9128,10.253772735595703,I200_OBJECTIVE_029_26d6c1ef0d,multiview10_ccc020,best_direct_high_bp_sensitivity_under_accuracy_gate,4,2718,2719,1,ok,1219,305,0,True
3,0.6240967949023422,13.36025619506836,8.3367338180542,10.848495483398438,13.36025619506836,16.795141220092773,11.096628189086914,-2.0115082263946533,-2.2773237228393555,0.3980130298258695,0.4522939615912237,0.7154960632324219,4563,13.82638931274414,7.781958103179932,718,30.35470199584961,18.02190399169922,5422,11.920708656311035,6.146306991577148,0.0,1.0,0.2245836985100788,0.4466476774758983,0.6311349693251533,0.3978965819456617,0.6919368974583698,0.8533085013146363,0.7131347060203552,I200C_C5_seed2718_fold1,INNOVATION200_CONFIRM,morphology_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,2719,334433,334433,36561,9128,7.78199315071106,I200_ARCH_051_79a6655a84,morphology_w64_eca_attention,best_parameter_efficient_under_accuracy_gate,5,2718,2719,1,ok,1219,305,0,True
5,0.5994152838647053,12.781688690185549,8.593517303466797,10.687602996826172,12.781688690185549,16.078771591186523,11.038065910339355,-1.1183264255523682,-0.7474256157875061,0.3919666656668541,0.4352132800526446,0.7056587934494019,4646,12.839001655578612,8.426709175109863,676,28.69465065002441,17.68495750427246,5598,11.165489196777344,6.988580703735352,0.0340236686390532,0.9987019117299976,0.2449180327868852,0.4636065573770492,0.6567213114754098,0.3557377049180328,0.6593442622950819,0.8506010928961749,0.704360842704773,I200C_C1_seed2718_fold2,INNOVATION200_CONFIRM,resnet,multiview,10.0,none,multitask,multitask,jitter_scale,none,2720,1146884,1146884,36539,9150,10.765799522399902,PRIOR_WINNER_FIXED,prior_resnet_multiview10_multitask,fixed_prior_winner,1,2718,2720,2,ok,1219,305,0,True
3,0.6166499213398439,12.943398475646973,8.516314506530762,10.729856491088867,12.943398475646973,16.218425750732422,11.005635261535645,-0.49566850066185,-1.5647448301315308,0.3739358864051189,0.443825137138083,0.7070208191871643,4646,13.132710456848145,8.028070449829102,676,28.09053421020508,18.301868438720703,5598,11.482861518859863,6.484859943389893,0.0,1.0,0.2420765027322404,0.4574863387978142,0.6450273224043716,0.3688524590163934,0.6693989071038251,0.8572677595628415,0.7033719420433044,I200C_C2_seed2718_fold2,INNOVATION200_CONFIRM,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,amplitude_warp,none,2720,705721,705721,36539,9150,7.830672025680542,I200_TRAIN_003_7a8882a0ec,adamw_3e4_cos_amplitude_warp,best_normalized_accuracy,2,2718,2720,2,ok,1219,305,0,True
3,0.6322900648204444,12.921096801757812,8.669336318969727,10.79521656036377,12.921096801757812,16.23271369934082,11.409110069274902,-2.030555248260498,-3.2861533164978027,0.3717840777695065,0.4408640755181944,0.712626576423645,4646,12.751136779785156,7.242395401000977,676,31.251415252685547,21.062883377075195,5598,10.943556785583496,5.564438343048096,0.0,1.0,0.2370491803278688,0.4567213114754098,0.6486338797814207,0.3783606557377049,0.6662295081967213,0.8461202185792349,0.6969268321990967,I200C_C3_seed2718_fold2,INNOVATION200_CONFIRM,conv_transformer_lite,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,2720,148804,148804,36539,9150,5.516667604446411,I200_ARCH_073_f3d457acb9,convtransformer_w64_p15_d1,best_tail_aware_accuracy,3,2718,2720,2,ok,1219,305,0,True
4,0.5522129164316267,13.396822929382324,8.612504959106445,11.004663467407228,13.396822929382324,16.825292587280273,11.04638385772705,1.0061007738113403,-0.2762913107872009,0.3717756665963533,0.4504045272637728,0.7235628366470337,4646,13.77671718597412,8.590420722961426,676,24.527664184570312,16.106367111206055,5598,12.38117504119873,7.248036384582519,0.1079881656804733,0.9827708284163325,0.2324590163934426,0.4487431693989071,0.6340983606557377,0.3675409836065574,0.6568306010928961,0.8398907103825136,0.725983202457428,I200C_C4_seed2718_fold2,INNOVATION200_CONFIRM,adaptive_resnet,multiview_zscore,10.0,none,direct,huber_ccc,jitter_scale,none,2720,926775,926775,36539,9150,10.266390085220335,I200_OBJECTIVE_029_26d6c1ef0d,multiview10_ccc020,best_direct_high_bp_sensitivity_under_accuracy_gate,4,2718,2720,2,ok,1219,305,0,True
3,0.6228957283871336,12.992857933044434,8.596851348876953,10.794855117797852,12.992857933044434,16.384977340698242,11.214077949523926,-2.0080130100250244,-2.5197014808654785,0.3538531525307018,0.4360379961215861,0.7116755247116089,4646,12.785818099975586,7.595255851745605,676,30.676795959472656,19.71805000305176,5598,11.079976081848145,5.981420040130615,0.014792899408284,0.999645975926363,0.2463387978142076,0.4581420765027322,0.647103825136612,0.3701639344262295,0.6693989071038251,0.8492896174863388,0.7000446319580078,I200C_C5_seed2718_fold2,INNOVATION200_CONFIRM,morphology_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,2720,334433,334433,36539,9150,7.768559455871582,I200_ARCH_051_79a6655a84,morphology_w64_eca_attention,best_parameter_efficient_under_accuracy_gate,5,2718,2720,2,ok,1219,305,0,True
