dataset,method,patients,windows,patient_macro_mae_sbp,patient_macro_mae_dbp,window_mae_sbp,bias_sbp,error_sd_sbp,loa_lower_sbp,loa_upper_sbp,pearson_sbp,calibration_slope_sbp,calibration_intercept_sbp,within_5_sbp,within_10_sbp,within_15_sbp,window_mae_dbp,bias_dbp,error_sd_dbp,loa_lower_dbp,loa_upper_dbp,pearson_dbp,calibration_slope_dbp,calibration_intercept_dbp,within_5_dbp,within_10_dbp,within_15_dbp
MIMIC-BP nested OOF,nested selected procedure,1524,45689,13.075977325439453,8.346319198608398,13.077215194702148,-2.3433356285095215,16.365108489990234,-34.418949127197266,29.73227882385254,0.4043401685258321,0.19355589526564537,88.63612494529595,0.23754076473549432,0.46326249206592396,0.6490183632821904,8.346104621887207,-1.1392109394073486,10.90877628326416,-22.520414352416992,20.24199104309082,0.4575279888923812,0.2253338609858062,44.1362497995481,0.3874674429293703,0.6822648777605113,0.8552824531068748
MIMIC-BP nested OOF,historical fixed prior,1524,45689,13.095926284790039,8.316085815429688,13.098213195800781,-0.03267146646976471,16.5576171875,-32.48560333251953,32.420257568359375,0.3909191925936888,0.2003469894548517,90.1806478773529,0.24016721749217537,0.4596730066317932,0.6462605878876754,8.315447807312012,-0.7608009576797485,10.844454765319824,-22.015933990478516,20.49433135986328,0.4704964794587342,0.25092697180995516,43.01886725134593,0.3867670555275887,0.6834030072884064,0.8557420823392939
VitalDB,zero shot,119,2380,18.389266967773438,11.287054061889648,18.389266967773438,-11.207428932189941,21.621231079101562,-53.58504104614258,31.170185089111328,0.24926385741647458,0.050632965357541,102.34843692975244,0.18529411764705883,0.3659663865546218,0.5252100840336135,11.287055015563965,-8.20622730255127,12.073287010192871,-31.869869232177734,15.457415580749512,0.2635195099823841,0.07009588521605561,51.22304658744186,0.2857142857142857,0.5357142857142857,0.7260504201680672
VitalDB,supervised affine cross-fit,119,2380,16.482004165649414,9.248252868652344,16.482004165649414,0.05190744996070862,21.480867385864258,-42.050594329833984,42.1544075012207,0.27072912304892227,0.08237485965222935,109.81105540270822,0.1869747899159664,0.3819327731092437,0.5462184873949579,9.248252868652344,5.444438647828065e-05,12.108382225036621,-23.73237419128418,23.732484817504883,0.2534686296052424,0.06807140316409943,59.55871046971019,0.3596638655462185,0.6331932773109243,0.8105042016806723
Ambulatory-56,task model zero shot,56,56,18.108190536499023,26.58245849609375,18.108190536499023,-15.531723976135254,16.451313018798828,-47.77629852294922,16.712852478027344,-0.15513845418291636,-0.05440328420558314,119.0741517495565,0.14285714285714285,0.3392857142857143,0.5357142857142857,26.58245849609375,-26.58245849609375,11.61611270904541,-49.350040435791016,-3.8148765563964844,-0.11218370512682875,-0.026281051839856347,55.41006751192579,0.03571428571428571,0.125,0.16071428571428573
Ambulatory-56,task model supervised affine cross-fit,56,56,12.046079635620117,9.185168266296387,12.046079635620117,0.30150726437568665,15.279190063476562,-29.64570426940918,30.248720169067383,-0.06558127867044491,-0.012650340080818008,129.57717300502185,0.32142857142857145,0.5,0.6607142857142857,9.185168266296387,0.23935659229755402,11.57976245880127,-22.45697784423828,22.935691833496094,-0.27266756116520385,-0.039675291051215804,83.30198608882455,0.30357142857142855,0.625,0.8035714285714286
Ambulatory-56,PaPaGei zero shot,56,56,19.28819465637207,25.921926498413086,19.28819465637207,-17.87155532836914,15.462408065795898,-48.17787551879883,12.434764862060547,-0.23013113595903978,-0.03348576859134833,114.06397500420927,0.125,0.30357142857142855,0.44642857142857145,25.921926498413086,-25.921926498413086,12.03396224975586,-49.50849151611328,-2.335359573364258,-0.45995844581652323,-0.07938183798807427,60.31297166912756,0.07142857142857142,0.125,0.16071428571428573
Ambulatory-56,PaPaGei supervised affine cross-fit,56,56,10.54257869720459,7.494491100311279,10.54257869720459,0.007684571202844381,13.303328514099121,-26.06683921813965,26.08220863342285,0.4436104606080242,0.21790963841824076,99.84989876690231,0.26785714285714285,0.5714285714285714,0.7857142857142857,7.494491100311279,0.02321331761777401,10.21485710144043,-19.997907638549805,20.04433250427246,0.3829861354500614,0.16784512734288373,66.5064436803435,0.44642857142857145,0.6785714285714286,0.9285714285714286
