model,mae_sbp,mae_dbp,mean_mae,worst_target_mae,rmse_sbp,rmse_dbp,bias_sbp,bias_dbp,pearson_sbp,pearson_dbp,selection_score,tail_count,tail_mae_sbp,tail_mae_dbp,high_count,high_mae_sbp,high_mae_dbp,low_count,low_mae_sbp,low_mae_dbp,high_bp_sensitivity,high_bp_specificity,sbp_within_5,sbp_within_10,sbp_within_15,dbp_within_5,dbp_within_10,dbp_within_15,clinical_selection_score,error_sd_sbp,bland_altman_lower_sbp,bland_altman_upper_sbp,error_sd_dbp,bland_altman_lower_dbp,bland_altman_upper_dbp,patient_macro_mae_sbp,patient_macro_mae_dbp
nested_selected_procedure,13.077180862426758,8.346067428588867,10.711624145507812,13.077180862426758,16.531818389892578,10.967926025390625,-2.3433356285095215,-1.1392109394073486,0.4043401685258321,0.4575279888923812,0.7070513963699341,23018,13.11254596710205,8.445897102355957,3626,29.79451560974121,17.70262336730957,27699,11.341760635375977,6.630828380584717,0.004964147821290678,0.999833582958895,0.23754076473549432,0.46326249206592396,0.6490183632821904,0.3874674429293703,0.6822648777605113,0.8552824531068748,0.7083172798156738,16.365108489990234,-34.4189453125,29.732275009155273,10.90877628326416,-22.52041244506836,20.241989135742188,13.075977325439453,8.346319198608398
historical_fixed_prior,13.09819507598877,8.315471649169922,10.706832885742188,13.09819507598877,16.55742835998535,10.870942115783691,-0.03267146646976471,-0.7608009576797485,0.3909191925936888,0.4704964794587342,0.7063926458358765,23018,13.782240867614746,8.519787788391113,3626,27.364561080932617,16.80597496032715,27699,11.953306198120117,6.828282833099365,0.04081632653061224,0.9966003375888548,0.24016721749217537,0.4596730066317932,0.6462605878876754,0.3867670555275887,0.6834030072884064,0.8557420823392939,0.7132704854011536,16.5576171875,-32.48560333251953,32.420257568359375,10.844454765319824,-22.015932083129883,20.49432945251465,13.095926284790039,8.316085815429688
outer_fold_training_mean,14.377991676330566,9.625285148620605,12.001638412475586,14.377991676330566,17.836074829101562,12.25929069519043,0.0009331035544164479,0.00017114798538386822,-0.020363378201313054,-0.013877624609501725,0.7956976890563965,23018,15.789395332336426,11.325372695922852,3626,34.674137115478516,21.288158416748047,27699,13.031368255615234,8.121804237365723,0.0,1.0,0.20630786403729562,0.40631224145855677,0.5886756111974436,0.3243669154501083,0.5963579855107356,0.7923789095843639,0.8229260444641113,17.83625030517578,-34.95811462402344,34.959983825683594,12.259331703186035,-24.028118133544922,24.028461456298828,14.374311447143555,9.625097274780273
