outer_fold,candidate_id,inner_epoch,inner_mae_sbp,inner_mae_dbp,inner_selection_score
1,I200_ARCH_074_4c2652ec21,5,12.782797813415527,8.569403648376465,0.7112189531326294
2,I200_ARCH_074_4c2652ec21,5,12.740678787231444,8.443737983703613,0.7025183439254761
3,I200_INPUT_024_29fd0c2123,3,12.774593353271484,8.23293399810791,0.696931004524231
4,I200_TRAIN_016_86ff396d16,2,13.397174835205078,8.138971328735352,0.703361988067627
5,I200_INPUT_037_3faa50799a,2,12.523880958557129,8.233997344970703,0.6817609071731567
