epoch,train_loss,mae_sbp,mae_dbp,mean_mae,worst_target_mae,rmse_sbp,rmse_dbp,bias_sbp,bias_dbp,pearson_sbp,pearson_dbp,selection_score,tail_count,tail_mae_sbp,tail_mae_dbp,high_count,high_mae_sbp,high_mae_dbp,low_count,low_mae_sbp,low_mae_dbp,high_bp_sensitivity,high_bp_specificity,sbp_within_5,sbp_within_10,sbp_within_15,dbp_within_5,dbp_within_10,dbp_within_15,clinical_selection_score
1,0.7753833074902379,13.666397094726562,9.273770332336426,11.470083236694336,13.666397094726562,17.13368797302246,12.033135414123535,-1.3631125688552856,-2.2435951232910156,0.13214606558047426,0.23234911627183172,0.7552313804626465,2965,13.938557624816895,8.764193534851074,403,34.87416076660156,22.57898712158203,3562,11.999946594238281,6.555447578430176,0.0,1.0,0.2230769230769231,0.4365811965811966,0.6254700854700854,0.33487179487179486,0.630940170940171,0.8246153846153846,0.7519704699516296
2,0.7626921111761138,13.868856430053711,9.212579727172852,11.540718078613281,13.868856430053711,17.226104736328125,11.911307334899902,1.694385051727295,-1.2757905721664429,0.12904719090332628,0.22468009093214344,0.7583869695663452,2965,15.286513328552246,9.394637107849121,403,31.732084274291992,21.58347511291504,3562,13.079215049743652,7.070841312408447,0.0,1.0,0.2181196581196581,0.42017094017094014,0.6032478632478633,0.33965811965811965,0.6276923076923077,0.823076923076923,0.7700852155685425
3,0.7550029274105101,13.682048797607422,9.159144401550293,11.420597076416016,13.682048797607422,17.035770416259766,11.934555053710938,0.6880859136581421,-1.7875381708145142,0.16247365237709072,0.24190597661093316,0.751029908657074,2965,14.687393188476562,8.926872253417969,403,32.20339584350586,21.87798500061035,3562,12.63994026184082,6.751396656036377,0.0,1.0,0.22256410256410256,0.42957264957264957,0.6177777777777778,0.34376068376068375,0.6405128205128205,0.8290598290598291,0.7556712627410889
4,0.7535335828167523,13.549931526184082,9.346206665039062,11.448068618774414,13.549931526184082,17.015737533569336,12.248025894165039,-1.059382438659668,-2.7959156036376953,0.1777192968119106,0.21315332085170813,0.7549222707748413,2965,13.910796165466309,8.364605903625488,403,33.84018325805664,22.815242767333984,3562,12.040390968322754,6.385557174682617,0.0,1.0,0.2234188034188034,0.4434188034188034,0.627008547008547,0.34324786324786327,0.6323076923076923,0.824957264957265,0.7475046515464783
5,0.7503480183523755,13.566463470458984,9.32884693145752,11.447654724121094,13.566463470458984,17.091894149780273,12.235586166381836,-1.227665901184082,-2.7887089252471924,0.17168218685290212,0.2105923503534102,0.7546798586845398,2965,13.821991920471191,8.390854835510254,403,34.21063232421875,22.942785263061523,3562,11.949285507202148,6.35729455947876,0.0,1.0,0.22393162393162394,0.4441025641025641,0.6283760683760684,0.34068376068376066,0.6294017094017094,0.8256410256410256,0.7469708323478699
6,0.7497058697911196,13.54011058807373,9.17186450958252,11.355987548828125,13.54011058807373,16.94855499267578,12.046555519104004,-0.04952891170978546,-2.4330735206604004,0.1886020223936465,0.24283235851439808,0.747596800327301,2965,14.24924087524414,8.505300521850586,403,32.695098876953125,22.599580764770508,3562,12.31063175201416,6.414248466491699,0.0,1.0,0.2241025641025641,0.44,0.627008547008547,0.34683760683760684,0.6410256410256411,0.8294017094017094,0.7457866668701172
7,0.7461459144603374,13.572609901428223,9.09122371673584,11.331916809082031,13.572609901428223,16.965635299682617,11.866728782653809,0.757524847984314,-1.3284069299697876,0.19799996355425467,0.25060840972044535,0.7452386617660522,2965,14.533833503723145,9.135393142700195,403,31.63222885131836,21.36445426940918,3562,12.561105728149414,6.982916831970215,0.0,1.0,0.2241025641025641,0.4348717948717949,0.6225641025641026,0.35145299145299147,0.6413675213675214,0.8295726495726495,0.7523688077926636
8,0.7453628050726514,13.517179489135742,9.342633247375488,11.429906845092773,13.517179489135742,17.0935115814209,12.303465843200684,-1.8482190370559692,-3.0774986743927,0.19459657404558522,0.21555606327336377,0.7538668513298035,2965,13.512879371643066,8.209454536437988,403,34.36202621459961,23.163400650024414,3562,11.759413719177246,6.24128532409668,0.0,1.0,0.2294017094017094,0.44871794871794873,0.6316239316239316,0.3401709401709402,0.632991452991453,0.8232478632478633,0.7423772811889648
9,0.744610936604729,13.61656665802002,9.009347915649414,11.312957763671875,13.61656665802002,17.04357147216797,11.823410034179688,0.899202823638916,-1.7819938659667969,0.19391846818276548,0.27605765115620984,0.7431492209434509,2965,14.596916198730469,8.76035213470459,403,31.319486618041992,21.72089385986328,3562,12.625879287719727,6.660499572753906,0.0,1.0,0.2242735042735043,0.43675213675213675,0.6141880341880341,0.36205128205128206,0.6476923076923077,0.8341880341880342,0.7474476099014282
10,0.743889238483222,13.495123863220215,9.084940910339355,11.290032386779785,13.495123863220215,17.048799514770508,12.01745891571045,-0.738945484161377,-2.5634663105010986,0.2030537435986537,0.26772942867461463,0.742829442024231,2965,13.851120948791504,8.290096282958984,403,32.894527435302734,22.466312408447266,3562,12.072549819946289,6.338930130004883,0.0,1.0,0.23094017094017094,0.4495726495726496,0.629059829059829,0.35572649572649573,0.6536752136752136,0.8341880341880342,0.7372666597366333
