epoch,train_loss,mae_sbp,mae_dbp,mean_mae,worst_target_mae,rmse_sbp,rmse_dbp,bias_sbp,bias_dbp,pearson_sbp,pearson_dbp,selection_score,tail_count,tail_mae_sbp,tail_mae_dbp,high_count,high_mae_sbp,high_mae_dbp,low_count,low_mae_sbp,low_mae_dbp,high_bp_sensitivity,high_bp_specificity,sbp_within_5,sbp_within_10,sbp_within_15,dbp_within_5,dbp_within_10,dbp_within_15,clinical_selection_score
1,0.5580791392067607,13.670121192932129,9.280620574951172,11.475370407104492,13.670121192932129,17.10215187072754,12.054245948791504,-0.8404879570007324,-2.3778443336486816,0.1306081320888532,0.23354418227587817,0.7556120157241821,2965,14.146409034729004,8.663203239440918,403,34.31727981567383,22.657379150390625,3562,12.160807609558105,6.499791145324707,0.0,1.0,0.2229059829059829,0.4362393162393162,0.6191452991452991,0.33316239316239316,0.6335042735042735,0.8223931623931624,0.7526798844337463
2,0.5461527485718098,13.836690902709961,9.191041946411133,11.513866424560547,13.836690902709961,17.180198669433594,11.882406234741211,1.6855075359344482,-1.1965075731277466,0.14050791709063676,0.23181833664019566,0.7566211223602295,2965,15.249914169311523,9.423428535461426,403,31.661380767822266,21.45412826538086,3562,13.051840782165527,7.1034650802612305,0.0,1.0,0.21863247863247864,0.4222222222222222,0.6047863247863248,0.33965811965811965,0.6305982905982906,0.8241025641025641,0.7687975168228149
3,0.5391343336465747,13.638509750366211,9.152926445007324,11.39571762084961,13.638509750366211,17.006528854370117,11.94009780883789,0.5559364557266235,-1.8094136714935303,0.17083703740091744,0.24227195474895763,0.749567449092865,2965,14.586386680603027,8.895105361938477,403,32.31831741333008,21.911401748657227,3562,12.554929733276367,6.740337371826172,0.0,1.0,0.2194871794871795,0.43128205128205127,0.6201709401709402,0.3458119658119658,0.6434188034188034,0.8287179487179487,0.7535508275032043
4,0.5376662507999775,13.512358665466309,9.310750961303711,11.411554336547852,13.512358665466309,17.006431579589844,12.21691608428955,-1.44560968875885,-2.7662603855133057,0.18718423964017267,0.21920117992968585,0.7524430751800537,2965,13.718550682067871,8.361190795898438,403,34.20515823364258,22.82965850830078,3562,11.88666820526123,6.370500087738037,0.0,1.0,0.2246153846153846,0.44871794871794873,0.6288888888888889,0.3418803418803419,0.6341880341880342,0.8268376068376069,0.7442740201950073
5,0.5344747560199841,13.549386978149414,9.31069278717041,11.43004035949707,13.549386978149414,17.10477638244629,12.223930358886719,-1.4212725162506104,-2.827587366104126,0.1764701717583287,0.21643105650715205,0.7534705400466919,2965,13.715213775634766,8.346558570861816,403,34.3416862487793,22.9794979095459,3562,11.8712739944458,6.323202133178711,0.0,1.0,0.22957264957264958,0.44598290598290596,0.628034188034188,0.34376068376068375,0.6326495726495727,0.8256410256410256,0.7448734641075134
6,0.5335885070322096,13.495606422424316,9.134468078613281,11.31503677368164,13.495606422424316,16.924049377441406,11.991992950439453,-0.1980917751789093,-2.1805131435394287,0.19572827546644772,0.24492871845274422,0.7448462843894958,2965,14.140265464782715,8.642779350280762,403,32.855072021484375,22.366411209106445,3562,12.212066650390625,6.519049167633057,0.0,1.0,0.22666666666666666,0.44324786324786325,0.6285470085470085,0.34564102564102567,0.6415384615384615,0.8290598290598291,0.7443562746047974
7,0.5309550646663637,13.5230712890625,9.104449272155762,11.313760757446289,13.5230712890625,16.935821533203125,11.914856910705566,0.41838350892066956,-1.5645577907562256,0.20680775277761676,0.24798992199761513,0.7443958520889282,2965,14.33281135559082,8.981380462646484,403,31.84498405456543,21.60190200805664,3562,12.416361808776855,6.86768913269043,0.0,1.0,0.2247863247863248,0.43846153846153846,0.624957264957265,0.35213675213675216,0.6415384615384615,0.8317948717948718,0.7487815022468567
8,0.5303342493698578,13.498228073120117,9.257667541503906,11.377947807312012,13.498228073120117,17.0787296295166,12.206522941589355,-1.4821052551269531,-2.973723888397217,0.19662012148249794,0.23554290670251857,0.7499027848243713,2965,13.609386444091797,8.195685386657715,403,34.01427459716797,23.03424835205078,3562,11.832918167114258,6.22383975982666,0.0,1.0,0.2287179487179487,0.4499145299145299,0.6312820512820513,0.3429059829059829,0.6388034188034188,0.8256410256410256,0.7399360537528992
9,0.5293914687263873,13.625062942504883,9.001053810119629,11.313058853149414,13.625062942504883,17.052522659301758,11.824445724487305,1.1404844522476196,-1.7576253414154053,0.19867581734854733,0.2762020179196546,0.7430499792098999,2965,14.654691696166992,8.764518737792969,403,31.04715347290039,21.712928771972656,3562,12.687253952026367,6.675084114074707,0.0,1.0,0.2283760683760684,0.4331623931623932,0.6157264957264957,0.3664957264957265,0.6482051282051282,0.8338461538461538,0.7478170394897461
10,0.5288553907889728,13.487215995788574,9.057116508483887,11.27216625213623,13.487215995788574,17.04389762878418,11.968730926513672,-0.7803086638450623,-2.40464448928833,0.2016883479601593,0.26997995094211885,0.7414839267730713,2965,13.825047492980957,8.384465217590332,403,33.042724609375,22.379640579223633,3562,12.047226905822754,6.390113830566406,0.0,1.0,0.2312820512820513,0.45111111111111113,0.629059829059829,0.35794871794871796,0.6541880341880342,0.834017094017094,0.7370305061340332
