w1,w2,w3,mean_mae,mae_sbp,mae_dbp,rmse_sbp,rmse_dbp,bias_sbp,bias_dbp,pearson_sbp,pearson_dbp
0.5,0.30000000000000004,0.19999999999999996,10.484384801949327,12.837124558812633,8.131645045086021,16.15040512436464,10.699581815150891,-0.6449368457726978,-1.3652796010335064,0.4269582262521369,0.50062024129912
0.5,0.2,0.3,10.485258143061232,12.83943023517995,8.131086050942514,16.156382737469205,10.69544879225182,-0.658011051582001,-1.3422518223300366,0.42661347230781355,0.5009097041104046
0.4,0.3,0.3,10.485329461214086,12.84145893727377,8.129199985154399,16.153317021433374,10.69100894007417,-0.6675112808402212,-1.304619116944805,0.4268692833851974,0.5008007673096647
0.6000000000000001,0.19999999999999996,0.19999999999999996,10.485454431244218,12.836254114395926,8.134654748092512,16.155003283278685,10.705346546981966,-0.6354366165144762,-1.4029123064187374,0.4265410745706124,0.5005601869429039
0.6000000000000001,0.29999999999999993,0.09999999999999998,10.48752835180711,12.837147607252085,8.137909096362135,16.15328944305623,10.713024775730617,-0.6223624107051748,-1.425940085122208,0.42646007175832984,0.499817476531526
0.4,0.19999999999999998,0.4,10.48913636304328,12.846908255420143,8.131364470666414,16.163555131848767,10.69042913115894,-0.6805854866495183,-1.2815913382413324,0.42611382205618825,0.5006599274381135
0.4,0.39999999999999997,0.2,10.489501876683272,12.844595620538712,8.134408132827833,16.155540034246794,10.700495016059621,-0.6544370750309186,-1.3276468956482752,0.42638293040605735,0.4997921929220146
0.7000000000000001,0.19999999999999996,0.09999999999999998,10.489700254738253,12.837541556279541,8.141858953196962,16.159418252826153,10.720108883692602,-0.6128621814469533,-1.463572790507439,0.42588494552087963,0.49959535965669166
0.30000000000000004,0.3,0.39999999999999997,10.490428218270878,12.8500296675558,8.130826768985958,16.16202200136569,10.687317870182984,-0.6900857159077428,-1.243958632856103,0.4262069941960622,0.5003772489954985
0.6000000000000001,0.09999999999999998,0.29999999999999993,10.491489394824828,12.844471906288648,8.13850688336101,16.16917403712835,10.706564052958178,-0.6485108223237787,-1.3798845277152672,0.42539345486376534,0.5001720533637602
0.5,0.4,0.09999999999999998,10.4915219848375,12.84351472165591,8.13952924801909,16.156891870382168,10.712609460541872,-0.6318626399633954,-1.3883073797369765,0.4260407828951422,0.4991503248860518
0.30000000000000004,0.39999999999999997,0.3,10.491525170542626,12.849876324457147,8.133174016628104,16.159982424153633,10.693252811342811,-0.6770115100984422,-1.266986411559574,0.426138998151088,0.49980836817044894
0.7000000000000001,0.09999999999999998,0.19999999999999996,10.49276776546622,12.842493898882287,8.143041632050155,16.169326207454514,10.71777843605334,-0.6259363872562553,-1.4405450118039689,0.4251568789832817,0.49965193556773535
0.5,0.1,0.4,10.494121731899618,12.850836796480756,8.13740666731848,16.174810890600526,10.70022069864968,-0.6710852573912988,-1.3192240436265639,0.425063436624965,0.5001008211322938
0.7000000000000001,0.29999999999999993,0.0,10.494768148143919,12.841549015911403,8.147987280376434,16.161966874272256,10.73131951978306,-0.5997879756376518,-1.4866005692109094,0.4253680982645817,0.4983807617638634
