model,kind,mae_sbp,mae_dbp,rmse_sbp,rmse_dbp,bias_sbp,bias_dbp,pearson_sbp,pearson_dbp,iterations,mae_sbp_ci95,mae_dbp_ci95
C_010_fcn_05a9270e,candidate_seed_ensemble,12.866554260253906,8.179869651794434,16.214038848876953,10.776402473449707,-0.5712872743606567,-1.5994986295700073,0.4203553018975587,0.49478566758913994,2000,"[12.570613789558411, 13.160678076744079]","[7.9518644452095035, 8.417634916305541]"
C_001_patch_transformer_910e1b87,candidate_seed_ensemble,13.02177906036377,8.270462036132812,16.3792724609375,10.858245849609375,-0.6662895083427429,-1.223171591758728,0.4034633276535687,0.4753745637369201,2000,"[12.73335509300232, 13.306259846687317]","[8.02965693473816, 8.503499746322632]"
C_008_fcn_9f15caf5,candidate_seed_ensemble,12.98100471496582,8.219017028808594,16.34111213684082,10.772909164428711,-0.7970316410064697,-0.9928938746452332,0.41158577198310115,0.4884858101844778,2000,"[12.691419410705567, 13.273504114151]","[7.987153089046478, 8.445456409454346]"
simple_mean_all_3,ensemble_preregistered_equal_weight,12.846085548400879,8.130160331726074,16.15688705444336,10.6893892288208,-0.6782028675079346,-1.2718547582626343,0.4265605624441585,0.5004757654262513,2000,"[12.554229855537415, 13.136682653427124]","[7.894477701187133, 8.359016728401183]"
