epoch,train_loss,mae_sbp,mae_dbp,mean_mae,worst_target_mae,rmse_sbp,rmse_dbp,bias_sbp,bias_dbp,pearson_sbp,pearson_dbp,selection_score,tail_count,tail_mae_sbp,tail_mae_dbp,high_count,high_mae_sbp,high_mae_dbp,low_count,low_mae_sbp,low_mae_dbp,high_bp_sensitivity,high_bp_specificity,sbp_within_5,sbp_within_10,sbp_within_15,dbp_within_5,dbp_within_10,dbp_within_15,clinical_selection_score,run_id,stage,backbone,view,duration_seconds,engineered,head,loss,augmentation,balance,seed,parameters,trainable_parameters,train_samples,eval_samples,runtime_seconds
2,0.7066787599131118,13.313261032104492,9.095965385437012,11.204612731933594,13.313261032104492,16.9575252532959,11.880182266235352,-2.0382566452026367,-1.7548164129257202,0.24381306915385897,0.25973268379242964,0.7382173538208008,2965,13.121115684509277,8.824687004089355,403,33.63438034057617,21.51875114440918,3562,11.575342178344727,6.735644817352295,0.0,1.0,0.23897435897435898,0.4611965811965812,0.6429059829059829,0.3476923076923077,0.642051282051282,0.8290598290598291,0.7341379523277283,F_004_papagei_24c653db,F,papagei,ppg_bandpass,10.0,none,multitask,multitask,jitter_scale,none,42,5897104,5897104,32971,5850,37.028093338012695
10,0.7030643527359925,13.419248580932617,9.042633056640625,11.230940818786621,13.419248580932617,16.87603187561035,11.958144187927246,-1.042221188545227,-2.526886463165283,0.21998177743781944,0.27682523382246954,0.7390077710151672,2965,13.708643913269043,8.286090850830078,403,33.05409240722656,22.486936569213867,3562,11.92740249633789,6.294349193572998,0.0,1.0,0.2312820512820513,0.4478632478632479,0.6299145299145299,0.35777777777777775,0.6523076923076923,0.8350427350427351,0.7333692312240601,F_003_papagei_8c83d9bd,F,papagei,ppg_bandpass,10.0,none,multitask,multitask,jitter_scale,none,42,5897104,1950084,32971,5850,36.5710391998291
2,0.5273655026920082,13.30454158782959,9.157684326171875,11.23111343383789,13.30454158782959,16.86222267150879,11.975727081298828,-1.1527289152145386,-1.9535194635391235,0.24351971791774193,0.2459379024732136,0.7404714822769165,2965,13.423698425292969,8.746710777282715,403,32.67462921142578,21.716278076171875,3562,11.786035537719727,6.69492769241333,0.0,1.0,0.23658119658119658,0.4557264957264957,0.6449572649572649,0.3441025641025641,0.6425641025641026,0.8305982905982906,0.737143874168396,F_002_papagei_e3bd39a6,F,papagei,ppg_bandpass,10.0,none,direct,huber,none,none,42,5896974,5896974,32971,5850,36.721328020095825
10,0.5288553907889728,13.487215995788574,9.057116508483887,11.27216625213623,13.487215995788574,17.04389762878418,11.968730926513672,-0.7803086638450623,-2.40464448928833,0.2016883479601593,0.26997995094211885,0.7414839267730713,2965,13.825047492980957,8.384465217590332,403,33.042724609375,22.379640579223633,3562,12.047226905822754,6.390113830566406,0.0,1.0,0.2312820512820513,0.45111111111111113,0.629059829059829,0.35794871794871796,0.6541880341880342,0.834017094017094,0.7370305061340332,F_001_papagei_030708e7,F,papagei,ppg_bandpass,10.0,none,direct,huber,none,none,42,5896974,1949954,32971,5850,36.887869119644165
10,0.743889238483222,13.495123863220215,9.084940910339355,11.290032386779785,13.495123863220215,17.048799514770508,12.01745891571045,-0.738945484161377,-2.5634663105010986,0.2030537435986537,0.26772942867461463,0.742829442024231,2965,13.851120948791504,8.290096282958984,403,32.894527435302734,22.466312408447266,3562,12.072549819946289,6.338930130004883,0.0,1.0,0.23094017094017094,0.4495726495726496,0.629059829059829,0.35572649572649573,0.6536752136752136,0.8341880341880342,0.7372666597366333,F_005_papagei_ca42b284,F,papagei,ppg_bandpass,10.0,none,direct,l1,none,none,42,5896974,1949954,32971,5850,30.21586275100708
