method,patients,windows,mae_sbp,mae_dbp,bias_sbp,bias_dbp,pearson_sbp,pearson_dbp,rmse_sbp,pct_sbp_within_5,pct_sbp_within_10,pct_sbp_within_15,rmse_dbp,pct_dbp_within_5,pct_dbp_within_10,pct_dbp_within_15,mae_sbp_ci_low,mae_sbp_ci_high,mae_dbp_ci_low,mae_dbp_ci_high,high_bp_prevalence,direct_sensitivity,direct_specificity,direct_ppv,auprc,auroc
mimic_source_mean,119,2380,17.845542907714844,10.447996139526367,-6.726935863494873,-5.582880973815918,,,23.288658142089844,18.10924369747899,35.79831932773109,52.01680672268908,13.701955795288086,32.016806722689076,57.815126050420176,76.42857142857142,16.701263427734375,19.096641540527344,9.731182098388672,11.206642150878906,0.1689075630252101,0.0,1.0,0.0,0.1689075630252101,0.5
innovation200_zero_shot,119,2380,18.389266967773438,11.287054061889648,-11.207427978515625,-8.206226348876953,0.24926385741647458,0.2635195099823841,24.349285125732422,18.529411764705884,36.59663865546218,52.52100840336135,14.59606647491455,28.57142857142857,53.57142857142857,72.60504201680672,17.250032424926758,19.58258819580078,10.49032974243164,12.112458229064941,0.1689075630252101,0.0,1.0,0.0,0.31229449608610504,0.5951486249239143
destination_mean_crossfit,119,2380,17.432701110839844,9.6976900100708,0.003316171932965517,0.001217818004079163,-0.09493512936482218,-0.10282792643164892,22.35283088684082,17.899159663865547,34.87394957983193,52.10084033613446,12.550528526306152,33.403361344537814,60.63025210084033,79.15966386554622,16.373519897460938,18.665607452392578,9.052117347717285,10.388261795043945,0.1689075630252101,0.0,1.0,0.0,0.157558366848375,0.4707604545523143
innovation200_affine_crossfit,119,2380,16.482004165649414,9.248252868652344,0.051907509565353394,5.457581573864445e-05,0.27072912304892227,0.2534686296052424,21.476417541503906,18.69747899159664,38.193277310924366,54.621848739495796,12.10583782196045,35.96638655462185,63.319327731092436,81.05042016806723,15.452986717224121,17.686203002929688,8.610472679138184,9.93138313293457,0.1689075630252101,0.03482587064676617,0.9979777553083923,0.7777777777777778,0.3228635329509829,0.6471591737973428
